category_eng,subcategory_eng,flavor_eng,subflavor_eng,synonym_eng,category_kor,subcategory_kor,flavor_kor,subflavor_kor,synonym_kor
sweet & sugary,overall sweet,candy,,,달콤하고 설탕 같은,달콤한,사탕,,
sweet & sugary,overall sweet,jam,,,달콤하고 설탕 같은,달콤한,잼,,
sweet & sugary,overall sweet,jelly,sour jelly,,달콤하고 설탕 같은,달콤한,젤리,사워 젤리,
sweet & sugary,overall sweet,marshmallow,,,달콤하고 설탕 같은,달콤한,마시멜로,,
sweet & sugary,overall sweet,vanilla,,,달콤하고 설탕 같은,달콤한,바닐라,,
vegetal & earthy & herb,green/vegetative,cedar,,,야채 & 흙 & 허브,그린/식물,삼나무,,
vegetal & earthy & herb,green/vegetative,straw,,,야채 & 흙 & 허브,그린/식물,밀짚,,
vegetal & earthy & herb,green/vegetative,leafy greens,,,야채 & 흙 & 허브,그린/식물,초록 잎,,
vegetal & earthy & herb,green/vegetative,olive,,,야채 & 흙 & 허브,그린/식물,올리브,,
vegetal & earthy & herb,green/vegetative,green pepper,,,야채 & 흙 & 허브,그린/식물,피망,,
vegetal & earthy & herb,green/vegetative,squash,,,야채 & 흙 & 허브,그린/식물,호박,,
vegetal & earthy & herb,green/vegetative,mushroom,,,야채 & 흙 & 허브,그린/식물,버섯,,
vegetal & earthy & herb,green/vegetative,carrot,,,야채 & 흙 & 허브,그린/식물,당근,,
vegetal & earthy & herb,green/vegetative,tomato,,,야채 & 흙 & 허브,그린/식물,토마토,,
vegetal & earthy & herb,green/vegetative,sweet pea,,,야채 & 흙 & 허브,그린/식물,스위트 피,,
vegetal & earthy & herb,green/vegetative,rhubarb,,,야채 & 흙 & 허브,그린/식물,루바브,,
vegetal & earthy & herb,green/vegetative,grassy,,,야채 & 흙 & 허브,그린/식물,풀 향,,
vegetal & earthy & herb,green/vegetative,hop,,,야채 & 흙 & 허브,그린/식물,홉,,
vegetal & earthy & herb,green/vegetative,aloe,,,야채 & 흙 & 허브,그린/식물,알로에,,
vegetal & earthy & herb,herb,dill,,,야채 & 흙 & 허브,허브,딜,,
vegetal & earthy & herb,herb,mint,,,야채 & 흙 & 허브,허브,민트,,
vegetal & earthy & herb,herb,thyme,,,야채 & 흙 & 허브,허브,타임,,
vegetal & earthy & herb,herb,lemonbalm,,,야채 & 흙 & 허브,허브,레몬밤,,
vegetal & earthy & herb,herb,sage,,,야채 & 흙 & 허브,허브,세이지,,
vegetal & earthy & herb,herb,rosemary,,,야채 & 흙 & 허브,허브,로즈마리,,
vegetal & earthy & herb,herb,basil,,,야채 & 흙 & 허브,허브,바질,,
vegetal & earthy & herb,herb,herbal tea,,,야채 & 흙 & 허브,허브,허브 티,,
vegetal & earthy & herb,herb,herbal,,,야채 & 흙 & 허브,허브,허브,,
vegetal & earthy & herb,herb,eucalyptus,,,야채 & 흙 & 허브,허브,유칼립투스,,
vegetal & earthy & herb,herb,apple mint,,,야채 & 흙 & 허브,허브,애플 민트,,
vegetal & earthy & herb,herb,holy basil,,,야채 & 흙 & 허브,허브,홀리 바질,,
vegetal & earthy & herb,herb,lemongrass,,,야채 & 흙 & 허브,허브,레몬그라스,,
vegetal & earthy & herb,papery/musty,soil,,,야채 & 흙 & 허브,종이/퀴퀴한,흙,,
vegetal & earthy & herb,papery/musty,wood,,,야채 & 흙 & 허브,종이/퀴퀴한,나무,,
vegetal & earthy & herb,tea,earl grey,,,야채 & 흙 & 허브,차,얼그레이,,
vegetal & earthy & herb,tea,green orange peel pu-er tea,,,야채 & 흙 & 허브,차,소청감,,
vegetal & earthy & herb,tea,white tea,,,야채 & 흙 & 허브,차,백차,,
vegetal & earthy & herb,tea,pu-er tea,,,야채 & 흙 & 허브,차,보이차,,
vegetal & earthy & herb,tea,oolong tea,,,야채 & 흙 & 허브,차,우롱차,,
vegetal & earthy & herb,tea,assam tea,,,야채 & 흙 & 허브,차,아쌈티,,
vegetal & earthy & herb,tea,chamomile,,,야채 & 흙 & 허브,차,카모마일,,
vegetal & earthy & herb,tea,rooibos tea,,,야채 & 흙 & 허브,차,루이보스티,,
vegetal & earthy & herb,tea,black tea,,,야채 & 흙 & 허브,차,홍차,,
vegetal & earthy & herb,tea,citrus black tea,,,야채 & 흙 & 허브,차,시트러스 홍차,,
vegetal & earthy & herb,tea,green tea,green tea ice cream,,야채 & 흙 & 허브,차,녹차,녹차아이스크림,
vegetal & earthy & herb,tea,ruby oolong,,,야채 & 흙 & 허브,차,루비 우롱,,
vegetal & earthy & herb,tea,darjeeling,,,야채 & 흙 & 허브,차,다즐링,,
vegetal & earthy & herb,tea,milk tea,,,야채 & 흙 & 허브,차,밀크티,,
vegetal & earthy & herb,tea,jasmine tea,,,야채 & 흙 & 허브,차,자스민티,,
vegetal & earthy & herb,tobacco,tobacco,,,야채 & 흙 & 허브,토바코,담배,,
